"inari_urls_link","inari_urls_date_date","inari_urls_date_user","inari_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:24 PM","Stock Eyes","Genius!!! You better follow big boys buy cheap now, later you will be the one laugh all the way to bank.
Hush77 ppl shit their pants when the big boys dumped their shit on them....
but do u know , maybe the big boys wants to buy cheap and later push it back up to sell..
03/01/2019 15:17"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:25 PM","bi0hazard","stronger and stronger selling force incoming..."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:27 PM","Mytrd","I’m see strong support at 1.27 , I’m bought in at 1.28, hopefully I’m not wrong"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:32 PM","jonathanlum","broken twice 1.27"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:34 PM","mastermarcus","will close at 1.25 today"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:35 PM","bi0hazard","Already 1.26
where got support??"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:35 PM","mastermarcus","Dump started again..no way go back 1.300"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:36 PM","JoshuaMS7","Yes. Next support should be 1.00 hehe waiting there.."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:36 PM","Yu_and_Mee","expected
mastermarcus Dump started again..no way go back 1.300
03/01/2019 15:35"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:37 PM","simctgal","High pe still... all source will dump... 1.26 now"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:38 PM","paktua73","paktua sing a poetry war song again..
theme song.... echoed widespread in the..
inari violent red battlefield...
even storm will hit hard...
even hell say will swallow it..
even burn all till be ash..
will stand fight hard let bloody flow out
let bullet fly away around...
die die but never die either
but as long...
die never say hello then life come through..
its worth it to fight it..
some time..
cool eye..Stone heart..must lead on ride...
on brutal devil tricky trend stock...
paktua willing to dive more...
if scare let dare dark devil dive in here..
old man will..
let hand to talk today..let finger decide...
what button too press..
ever care all...
if lost... let lost gigantic..
if earn let.. earn ultra...
tut tut
always fight with own style"
